Code,Company,Market Cap,Share Price,% Change
1.,JSE:BHG,BHP Group Limited,2.47T,486
2.,JSE:GLN,Glencore plc,1.27T,93
3.,JSE:AGL,Anglo American plc,707.58B,524
4.,JSE:ANG,Anglogold Ashanti,229.79B,532
5.,JSE:GFI,Gold Fields Limited,225.3B,256
6.,JSE:AMS,Anglo American Platinum Ltd,174.91B,670
7.,JSE:S32,South32 Limited,166.5B,37
8.,JSE:MNP,Mondi plc,152.35B,344
9.,JSE:KIO,Kumba Iron Ore,116.92B,372
10.,JSE:HAR,Harmony Gold Mining Company,115.36B,187
11.,JSE:NHM,Northam Platinum Limited,101.6B,189
12.,JSE:SOL,Sasol Limited,91.6B,143
13.,JSE:IMP,Impala Platinum Holdings Limited,76.42B,85
14.,JSE:EXX,Exxaro Resources Limited,56.24B,163
15.,JSE:SSW,Sibanye Stillwater Limited,51.46B,18
16.,JSE:NPH,Northam Platinum Holdings Limited,46.92B,120
17.,JSE:ARI,African Rainbow Minerals,41.47B,183
18.,JSE:SAP,Sappi Limited,27.62B,45
19.,JSE:APH,Alphamin Resources Corporation,17.97B,14
20.,JSE:TGA,Thungela Resources Limited,16.48B,117
21.,JSE:PAN,Pan African Resources plc,15.47B,7
22.,JSE:DRD,DRDGOLD Limited,12.97B,15
23.,JSE:AFE,AECI Limited,11.24B,107
24.,JSE:OMN,Omnia Holdings Limited,10.32B,62
25.,JSE:THA,Tharisa plc,5.75B,18
26.,JSE:MED,Middle East Diamond Resources Limited,4.79B,0
27.,JSE:JBL,Jubilee Metals Group Plc,4B,1
28.,JSE:MRF,Merafe Resources Limited,3.95B,1
29.,JSE:GML,Gemfields Group Limited,3.09B,2
30.,JSE:KP2,Kore Potash Plc,2.17B,0
31.,JSE:ACL,ArcelorMittal South Africa Limited,1.41B,1
32.,JSE:ORN,Orion Minerals Limited,1.3B,0
33.,JSE:HLM,Hulamin Limited,1.18B,3
34.,JSE:YRK,York Timber Holdings Limited,1.11B,2
35.,JSE:WEZ,Wesizwe Platinum Limited,732.52M,0
36.,JSE:MCZ,MC Mining Limited,683.12M,1
37.,JSE:SOLBE1,Sasol Limited - BEE,633.14M,101
38.,JSE:SDL,Southern Palladium Limited,447.85M,4
39.,JSE:WSL,Wescoal Holdings Limited,403.12M,0
40.,JSE:EPS,Eastern Platinum Limited,390.52M,1
41.,JSE:ISB,Insimbi Industrial Holdings Ltd,254.79M,0
42.,JSE:CMO,Chrometco Limited,152.55M,0
43.,JSE:KBO,Kibo Energy PLC,61.47M,0
44.,JSE:RNG,Randgold And Exploration Company,52.21M,0
45.,JSE:EUZ,Europa Metals Limited,42M,0
